'PC   1'
  ,0000       ,4000       4,060       ,2200      7,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,9000       ,3600       ,1500      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2800       ,3200       ,1900      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      6,0000E-02   ,2600       ,7100       2,900       3,750       ,1500      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,5500       10,10       16,68       4,620       ,9800       ,2900      7,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1100       10,93       13,98       2,940       5,710       ,2000      2,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,5000       ,1900       ,1600       ,2700      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1000       ,2500       14,88       9,910       ,3000       ,1300       ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   7'
 4,0000E-02   ,1900       2,290       4,710       ,1700      8,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      7,0000E-02   4,340       9,570       ,2100       ,1100      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 7,0000E-02   ,2700       ,4800       19,58       1,420       ,1900      7,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2800       7,780       3,350       2,600       ,1600      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1100       ,0000       ,0000      7,0000E-02  4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1300       ,1600       ,2900      8,0000E-02  1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,5300       10,00       11,95       ,1800      4,0000E-02   ,0000       ,0000       ,0000       ,0000      1,0000E-02
  ,0000       ,0000      1,0000E-02   ,6300       ,2600       ,1800       ,1100      2,0000E-02   ,0000       ,0000       ,0000       ,0000    
 5,0000E-02   ,0000       ,2300       ,4800       ,2800       ,1400      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1000       ,5900       2,270       ,8100       ,1300      3,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000      6,0000E-02   ,1600      6,0000E-02  6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      9,0000E-02   ,2500       6,020       4,790       ,2200       ,1200      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,2300       ,5900       23,82       11,49       14,94       ,2200       ,1500      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,2500       ,1200       ,2500       ,1500       ,1100      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,5100       ,3400       2,700       ,1900      9,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,1000       ,3500       ,2100       6,320       4,220       ,2200       ,1700      4,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1800       ,3100       ,5300       ,2600       ,1400      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 3,0000E-02   ,0000       ,0000       ,0000       ,2900      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,3000       3,550       ,1600      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       1,370       ,7600       ,1100      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,3100       ,2600       ,1600      6,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      6,0000E-02   ,3300       4,810       4,010       3,490       ,1000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,3900       8,450       12,95       4,430       1,360       ,2000      5,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1200       7,860       11,51       2,600       4,440       ,1400      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,3900       ,1400       ,1300       ,2000      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
 1,0000E-02   ,1000       ,1400       11,10       7,460       ,2100      9,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
'PC   8'
 5,0000E-02   ,0000       ,3200       ,2600       ,1300      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 5,0000E-02  1,0000E-02   ,4600       ,2100       ,1100      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,1900    
  ,4900       4,070       5,380       17,54       ,2500       ,1900       ,1700      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
 7,0000E-02  1,0000E-02   ,1400       ,1100       ,1700      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000      2,0000E-02   ,0000       ,1700      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1400       ,4900       4,380       3,040       ,1400      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       6,770       15,17       14,01       ,2100      5,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      6,0000E-02   ,3700       ,1300      3,0000E-02   ,2000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,6200       ,2000       ,1300      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,1600      1,0000E-02  8,0000E-02   ,4100       ,1800       ,1300       ,2100       ,0000       ,0000      1,0000E-02   ,0000       ,0000    
  ,0000       ,0000       ,0000      6,0000E-02  1,0000E-02  5,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,1300       ,3800       ,1800       ,1500       ,1200      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,2500       ,1400       6,680       19,66       14,54       ,2400       ,1200       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,1400       ,3400       ,3600       ,2000       ,1100      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000      5,0000E-02  3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
 4,0000E-02   ,1000      1,0000E-02  4,0000E-02   ,3000      4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,2800       ,5200       ,6600       ,2400       ,1400      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,0000      6,0000E-02  4,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,4200       ,2400       ,1000      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
