//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2851021
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02851021;2;1/4/1961;1;27,4;166,4;11;12;1;1;0;2244,3;1;0;0;0;19;0;0;0;0;0;0;27,4;20;22,4;4;15,6;4,6;11;24,8;10,2;0;0;0;2;0;0;0;0;0;5,4;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/5/1961;1;39;64,1;18;5;1;1;0;2244,3;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;2,6;7,8;39;3,7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/6/1961;1;73,4;227;20;7;1;1;0;2244,3;1;0;0;0;0;31,2;0;0;0;0;23;52,4;0;11,8;0;0;0;0;0;16;73,4;19,2;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/7/1961;1;33,2;137,2;8;9;1;1;0;2244,3;1;0;0;4,6;0;0;0;5,4;33,2;0;0;0;0;0;13,4;22,6;19;13,8;0;0;0;0;13,6;0;0;0;11,6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/8/1961;1;49;138,1;16;8;1;1;0;2244,3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,4;49;5,8;0;0;37,6;6,5;0;0;5;0;10;0;0;0;17,8;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/9/1961;1;45,6;377,7;5;19;1;1;0;2244,3;1;3;0;0;35;45,6;34,8;0;0;6,4;0;2;28;0;5,4;24;14,5;0;0;0;11,8;25,4;12;0;0;20,4;11,8;19;40,4;34,2;4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/10/1961;1;65;220,6;25;13;1;1;0;2244,3;1;0;0;0;0;0;0;5;0;0;17,4;9;11;0;6,6;7,6;0;5;2,4;0;24;33,4;0;0;0;65;22,8;0;0;0;0;11,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/11/1961;1;31;185,2;1;14;1;1;0;2244,3;1;31;2;3,2;13;0;5;0;0;0;0;0;0;0;25;14,2;0;0;0;0;16,2;5;0;12;0;20,8;7;25,2;0;0;5,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02851021;2;1/12/1961;1;29,6;147,8;21;9;1;1;0;2244,3;1;23,8;10,4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;29,6;0;10;27,8;0;0;0;0;22,8;0;7,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02851021;2;1/1/1962;1;27,4;81;15;7;1;1;0;840,8;1;0;0;12,4;0;0;0;0;10;0;0;0;0;0;6;27,4;0;0;0;0;0;0;0;0;6;15,2;0;0;0;0;4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
