 WARNING:  PROBLEM IS POORLY SCALED.  THE UNITS
 OF THE ROWS AND VARIABLES SHOULD BE CHANGED SO
 THE COEFFICIENTS COVER A MUCH SMALLER RANGE.


 LP OPTIMUM FOUND AT STEP   2000
 OBJECTIVE VALUE =  0.000000000E+00


 NEW INTEGER SOLUTION OF   0.000000000E+00 AT BRANCH      0 PIVOT    2000
 BOUND ON OPTIMUM: 0.0000000E+00
 ENUMERATION COMPLETE. BRANCHES=     0 PIVOTS=    2000

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

       FO)     0.0000000E+00

  VARIABLE        VALUE          REDUCED COST
     SI046         0.000000          0.000000
     PR046         0.000000          0.000000
     EV046         0.000000          0.000000
     DM046  12960000.000000          0.000000
     QJ046  65370240.000000          0.000000
     QM056  78330240.000000          0.000000
     RT046  12960000.000000          0.000000
     SF056         0.000000          0.000000
     SI056         0.000000          0.000000
     PR056         0.000000          0.000000
     EV056         0.000000          0.000000
     DM056  12960000.000000          0.000000
     QJ056  86002560.000000          0.000000
     QM116 161844480.000000          0.000000
     RT076  12960000.000000          0.000000
     RT106  12960000.000000          0.000000
     RT056  12960000.000000          0.000000
     DM116  12960000.000000          0.000000
     QJ116 193700160.000000          0.000000
     QM136 246965760.000000          0.000000
     RT126  12960000.000000          0.000000
     RT116  12960000.000000          0.000000
     DM136  12960000.000000          0.000000
     QJ136 294632640.000000          0.000000
     QM176 418193280.000000          0.000000
     RT166  12960000.000000          0.000000
     RT136  12960000.000000          0.000000
     SF176         0.000000          0.000000
     SI176         0.000000          0.000000
     PR176         0.000000          0.000000
     EV176         0.000000          0.000000
     DM176  12960000.000000          0.000000
     QJ176 439706880.000000          0.000000
     QM186 452666880.000000          0.000000
     RT176  12960000.000000          0.000000
     DM186  12960000.000000          0.000000
     QJ186 478716480.000000          0.000000
     QM067         0.000000          0.000000
     DM067         0.000000          0.000000
     QJ067   9883296.000000          0.000000
     QM037         0.000000          0.000000
     DM037         0.000000          0.000000
     QJ037  35997696.000000          0.000000
     QM127         0.000000          0.000000
     SF127         0.000000          0.000000
     SI127         0.000000          0.000000
     PR127         0.000000          0.000000
     EV127         0.000000          0.000000
     DM127  13392000.000000          0.000000
     QJ127  17409600.000000          0.000000
     QM017         0.000000          0.000000
     DM017  13392000.000000          0.000000
     QJ017   2517696.000000          0.000000
     QM157         0.000000          0.000000
     DM157  13392000.000000          0.000000
     QJ157  55469664.000000          0.000000
     QM147         0.000000          0.000000
     DM147  13392000.000000          0.000000
     QJ147  27587520.000000          0.000000
     QM087         0.000000          0.000000
     SF087         0.000000          0.000000
     SI087 100000000.000000          0.000000
     PR087       912.000000          0.000000
     EV087    411980.031250          0.000000
     DM087  13392000.000000          0.000000
     QJ087 161459968.000000          0.000000
     QM077  10874304.000000          0.000000
     RT067    991008.000000          0.000000
     SF077         0.000000          0.000000
     SI077         0.000000          0.000000
     PR077         0.000000          0.000000
     EV077         0.000000          0.000000
     DM077  13392000.000000          0.000000
     QJ077         0.000000          0.000000
     QM097 174851968.000000          0.000000
     RT087  13392000.000000          0.000000
     DM097  10713600.000000          0.000000
     QJ097 176325088.000000          0.000000
     QM167  83057184.000000          0.000000
     RT157         0.000000          0.000000
     RT147         0.000000          0.000000
     SF167         0.000000          0.000000
     SI167         0.000000          0.000000
     PR167         0.000000          0.000000
     EV167         0.000000          0.000000
     DM167  13392000.000000          0.000000
     QJ167  80887680.000000          0.000000
     QM027   2517696.000000          0.000000
     RT017         0.000000          0.000000
     SF027         0.000000          0.000000
     SI027         0.000000          0.000000
     PR027         0.000000          0.000000
     EV027         0.000000          0.000000
     DM027  13392000.000000          0.000000
     QJ027  10017216.000000          0.000000
     QM107 182753248.000000          0.000000
     RT097   6428160.000000          0.000000
     SF107         0.000000          0.000000
     SI107         0.000000          0.000000
     PR107         0.000000          0.000000
     EV107         0.000000          0.000000
     DM107  13392000.000000          0.000000
     QJ107 198796864.000000          0.000000
     QM047  59406912.000000          0.000000
     RT037         0.000000          0.000000
     RT027  13392000.000000          0.000000
     SF047         0.000000          0.000000
     SI047         0.000000          0.000000
     PR047         0.000000          0.000000
     EV047         0.000000          0.000000
     DM047  13392000.000000          0.000000
     QJ047  60638976.000000          0.000000
     QM057  74030976.000000          0.000000
     RT047  13392000.000000          0.000000
     SF057         0.000000          0.000000
     SI057         0.000000          0.000000
     PR057         0.000000          0.000000
     EV057         0.000000          0.000000
     DM057  13392000.000000          0.000000
     QJ057  75986208.000000          0.000000
     QM117 314959072.000000          0.000000
     RT077  13392000.000000          0.000000
     RT107  13392000.000000          0.000000
     RT057  13392000.000000          0.000000
     DM117  13392000.000000          0.000000
     QJ117 330815200.000000          0.000000
     QM137 375008800.000000          0.000000
     RT127  13392000.000000          0.000000
     RT117  13392000.000000          0.000000
     DM137  13392000.000000          0.000000
     QJ137 408488800.000000          0.000000
     QM177 516160480.000000          0.000000
     RT167  13392000.000000          0.000000
     RT137  13392000.000000          0.000000
